Document test,Accuracy,Proba,Confusion matrix
"Vvoznaja gramota (ot imeni voevod bojar kn. Dmitrija Timofeeviča Trubeckogo i Ivana Martinoviča Zaruckogo) Sjujuš mirze Isupoviču na pomest′e ego otca i brat′ev ss. Bogorodickoe, Nikolskoe, Pongilo i dr. v Romanovskom u. s usloviem soderžanija služilych tatar // M. V. Moiseev. K istorii zemlevladenija roda Jusupovych v načale XVII veka_0",1,0.999999921,[100   0   0   0]
"Vojskovaja otpiska o perechode nekotorych nagajskich murz v cholopstvo gosudarja, o predstojaščem pochode turok i krymcev pod Azov vesnoju i o neobchodimosti ispravit′ ukreplenija v Azove (fragment Two) // Russkaja istoričeskaja biblioteka. T. XVIII. Donskie dela_0",1,0.999941512,[100   0   0   0]
Otpiska prikazčika s. Pavlovskogo (Zvenigorod. u.) A. Dement′eva B. I. Morozovu o priežde mastera rudnika Michaila i o ego rabote // Akty chozjajstva B. I. Morozova_0,1,1,[100   0   0   0]
Official grant of fishing rights from Metropolitan Simon to the Kuz'ma Monastery_0,1,0.999861474,[100   0   0   0]
"Sentence without trial, signed by the grand prince’s diak Vasilij Kulešin_0",1,0.999903577,[100   0   0   0]
Legal protection granted by Prince Mikhail Andreevich to the Metropolitan Monastery of the Great Resurrection_0,1,0.99999996,[100   0   0   0]
Charter of grant issued by Vasily III Ivanovich for the Monastery of the Holy Resurrection at Belozersk in Cherepovets._0,1,0.999999956,[100   0   0   0]
Copy of the charter of Tsar Fyodor I Ivanovich to the Monastery of the Mother of God of Saint Joseph_0,1,0.530727921,[100   0   0   0]
Magical-religious prayer_0,1,0.999999953,[100   0   0   0]
Magical-religious prayer Two_0,1,0.999999423,[100   0   0   0]
Magical-religious prayer Three_0,1,0.999999999,[100   0   0   0]
Bezobrazov_One_Seventeen_0,1,1,[100   0   0   0]
Bezobrazov_One_Eighteen_0,1,0.999999975,[100   0   0   0]
Bezobrazov_One_Nineteen_0,1,0.999886804,[100   0   0   0]
Bezobrazov_One_Twenty_0,1,0.7545856,[100   0   0   0]
Bezobrazov_One_Twenty-one_0,1,1,[100   0   0   0]
Bezobrazov_One_Twenty-two_0,1,0.99959332,[100   0   0   0]
Bezobrazov_One_Twenty-three_0,1,0.999947067,[100   0   0   0]
Bezobrazov_One_Twenty-four_0,1,0.9992229,[100   0   0   0]
Bezobrazov_One_Twenty-five_0,1,0.99999834,[100   0   0   0]
Bezobrazov_One_Twenty-six_0,1,0.999383642,[100   0   0   0]
Bezobrazov_One_Twenty-seven_0,1,0.999967367,[100   0   0   0]
Bezobrazov_One_Twenty-eight_0,1,0.999999944,[100   0   0   0]
Bezobrazov_One_Twenty-nine_0,1,0.999999939,[100   0   0   0]
Bezobrazov_One_Thirty_0,1,0.999999837,[100   0   0   0]
Bezobrazov_One_Thirty-one_0,1,0.999999996,[100   0   0   0]
Bezobrazov_One_Thirty-two_0,1,0.999998981,[100   0   0   0]
Bezobrazov_One_Thirty-three_0,1,0.999999132,[100   0   0   0]
Bezobrazov_One_Thirty-four_0,1,0.999999998,[100   0   0   0]
Bezobrazov_One_Thirty-five_0,1,1,[100   0   0   0]
Bezobrazov_One_Thirty-six_0,1,0.754886572,[100   0   0   0]
Bezobrazov_One_Thirty-seven_0,1,0.999816904,[100   0   0   0]
Bezobrazov_One_Thirty-eight_0,1,0.995981067,[100   0   0   0]
Bezobrazov_One_Thirty-nine_0,1,0.724572752,[100   0   0   0]
Bezobrazov_One_Forty_0,1,0.999133264,[100   0   0   0]
Bezobrazov_One_Forty-one_0,1,0.999999409,[100   0   0   0]
Bezobrazov_One_Forty-two_0,1,0.999999927,[100   0   0   0]
Bezobrazov_One_Forty-three_0,1,1,[100   0   0   0]
Bezobrazov_One_Forty-four_0,1,0.542006013,[100   0   0   0]
Bezobrazov_One_Forty-five_0,1,0.999999087,[100   0   0   0]
Bezobrazov_One_Forty-six_0,1,0.999853933,[100   0   0   0]
Bezobrazov_One_One_0,1,0.99091687,[100   0   0   0]
Bezobrazov_One_Two_0,1,0.996341056,[100   0   0   0]
Bezobrazov_One_Three_0,1,0.999998877,[100   0   0   0]
Bezobrazov_One_Four_0,1,0.999999937,[100   0   0   0]
Bezobrazov_One_Five_0,1,0.998227727,[100   0   0   0]
Bezobrazov_One_Six_0,1,1,[100   0   0   0]
Bezobrazov_One_Seven_0,1,0.999997879,[100   0   0   0]
Bezobrazov_One_Nine_0,1,0.999997581,[100   0   0   0]
Bezobrazov_One_Ten_0,1,0.999073818,[100   0   0   0]
Bezobrazov_One_Eleven_0,1,1,[100   0   0   0]
Bezobrazov_One_Twelve_0,1,0.999613321,[100   0   0   0]
Bezobrazov_One_Thirteen_0,1,0.999999956,[100   0   0   0]
Bezobrazov_One_Fourteen_0,1,0.9997048,[100   0   0   0]
Bezobrazov_One_Fifteen_0,1,0.999999997,[100   0   0   0]
Bezobrazov_One_Sixteen_0,1,0.999999619,[100   0   0   0]
Testament of Ivan Jurievich Grjaznoj_0,1,0.999999365,[100   0   0   0]
